n_random_features,model_score,features
5,0.788,"[('skew', 'E'), ('+', 'E', 'Z'), ('max', ('skew', ('argmax', ('max', ('corr', 'E', 'Z'))))), 'Z', ('+', 'Z', ('max', ('argmax', ('max', 'Z'))))]"
5,0.709,"[('corr', 'N', ('argmax', ('+', 'E', ('+', ('min', 'Z'), 'N')))), 'E', 'N', ('max', ('skew', ('kurtosis', ('kurtosis', ('kurtosis', 'Z'))))), ('re_fft', ('max', ('max', ('argmax', ('kurtosis', 'Z')))))]"
5,0.683,"[('argmax', 'E'), ('corr', ('kurtosis', ('min', ('min', 'E'))), 'Z'), 'Z', ('+', ('re_fft', 'Z'), ('min', ('kurtosis', 'N'))), ('argmax', 'E')]"
5,0.665,"[('argmax', ('argmax', ('max', ('max', 'N')))), ('kurtosis', 'E'), ('re_fft', 'N'), 'N', 'N']"
5,0.748,"[('argmax', 'E'), ('max', ('kurtosis', 'Z')), ('skew', ('min', ('skew', ('corr', ('skew', 'N'), 'E')))), ('corr', ('argmax', ('kurtosis', 'E')), ('re_fft', ('corr', ('skew', ('min', 'E')), ('argmax', 'Z')))), ('argmax', ('+', ('max', ('max', 'N')), ('re_fft', ('max', ('re_fft', 'E')))))]"
5,0.779,"[('re_fft', ('min', ('+', 'E', 'Z'))), ('+', 'Z', 'E'), ('kurtosis', 'E'), ('max', 'Z'), 'Z']"
5,0.814,"[('kurtosis', ('+', 'Z', 'Z')), 'E', 'Z', ('max', ('+', ('max', ('max', ('corr', 'Z', 'Z'))), 'N')), ('kurtosis', ('re_fft', 'N'))]"
5,0.774,"[('max', 'Z'), ('+', ('argmax', ('max', ('re_fft', ('max', 'Z')))), ('+', ('skew', 'N'), ('max', ('min', 'E')))), ('re_fft', ('min', 'E')), ('max', 'N'), ('+', ('re_fft', ('min', 'E')), ('+', ('argmax', 'E'), ('argmax', ('+', 'E', 'Z'))))]"
5,0.723,"[('argmax', 'Z'), 'Z', ('max', ('skew', ('+', 'N', ('skew', ('min', 'E'))))), ('argmax', ('re_fft', ('skew', ('re_fft', ('skew', 'Z'))))), ('+', ('max', ('+', 'N', 'E')), ('kurtosis', ('corr', ('min', 'E'), ('+', ('argmax', 'N'), ('max', 'E')))))]"
5,0.581,"['N', 'Z', 'Z', 'N', 'E']"
10,0.742,"['N', ('argmax', ('skew', ('re_fft', 'N'))), ('max', ('max', ('kurtosis', ('min', 'E')))), ('argmax', 'N'), 'E', 'E', 'E', ('min', 'Z'), ('re_fft', ('+', 'N', ('kurtosis', ('max', 'E')))), 'N']"
10,0.698,"[('corr', ('kurtosis', ('re_fft', ('argmax', ('re_fft', 'E')))), ('argmax', ('min', ('kurtosis', ('max', 'N'))))), 'E', ('corr', ('min', ('re_fft', ('max', ('argmax', 'N')))), ('max', ('max', ('min', ('argmax', 'Z'))))), ('argmax', ('corr', ('kurtosis', ('max', ('skew', 'E'))), 'N')), 'Z', 'N', 'Z', ('re_fft', 'Z'), 'E', ('min', ('argmax', ('kurtosis', ('max', ('min', 'N')))))]"
