n_random_features,model_score,features
5,0.636,"[('+', ('re_fft', ('kurtosis', ('max', 'N'))), 'Z'), 'Z', ('re_fft', 'Z'), ('max', ('re_fft', ('kurtosis', ('max', ('skew', 'N'))))), 'N']"
5,0.718,"[('re_fft', ('+', ('max', ('min', ('+', 'N', 'Z'))), ('skew', ('re_fft', 'Z')))), 'N', ('kurtosis', 'E'), ('argmax', ('re_fft', ('+', 'N', ('max', ('kurtosis', 'Z'))))), ('re_fft', 'N')]"
5,0.795,"[('argmax', 'Z'), ('min', 'E'), 'Z', ('max', ('argmax', ('argmax', ('max', 'Z')))), ('max', ('+', 'N', ('re_fft', ('min', ('max', 'N')))))]"
5,0.654,"['E', ('max', ('max', ('argmax', ('+', ('min', 'E'), 'N')))), 'N', ('kurtosis', 'N'), ('corr', ('argmax', 'N'), ('min', ('kurtosis', ('+', ('skew', 'N'), 'N'))))]"
5,0.666,"[('min', 'N'), 'Z', ('min', ('kurtosis', 'N')), ('+', ('corr', 'Z', 'E'), ('+', ('argmax', ('re_fft', 'E')), ('corr', ('re_fft', ('max', 'Z')), 'E'))), 'E']"
5,0.735,"['E', 'E', ('max', 'E'), ('corr', ('kurtosis', 'Z'), ('+', 'E', ('kurtosis', ('kurtosis', ('min', 'Z'))))), 'Z']"
5,0.732,"['E', ('+', 'N', 'Z'), ('corr', ('argmax', ('skew', ('skew', 'Z'))), 'Z'), ('argmax', ('+', ('kurtosis', ('corr', ('re_fft', 'N'), 'Z')), ('kurtosis', ('re_fft', ('min', 'Z'))))), ('corr', ('skew', ('corr', ('re_fft', ('skew', 'E')), ('min', ('kurtosis', 'Z')))), ('kurtosis', ('argmax', 'E')))]"
5,0.728,"[('re_fft', ('skew', ('+', 'N', 'Z'))), ('max', ('kurtosis', 'Z')), ('+', ('argmax', 'E'), ('corr', 'N', ('re_fft', ('min', ('min', 'E'))))), ('max', ('corr', 'Z', ('kurtosis', ('+', 'N', ('+', 'N', 'E'))))), ('kurtosis', ('+', ('re_fft', ('skew', ('max', 'N'))), ('skew', ('min', ('argmax', 'E')))))]"
5,0.707,"[('max', ('max', ('min', ('kurtosis', ('skew', 'E'))))), ('+', 'Z', 'Z'), 'E', ('argmax', 'Z'), 'Z']"
5,0.660,"['N', ('skew', ('corr', ('kurtosis', 'E'), ('max', ('+', 'E', ('re_fft', 'E'))))), ('skew', 'N'), ('skew', ('skew', ('argmax', ('min', ('max', 'E'))))), ('corr', ('+', ('corr', ('corr', ('max', 'E'), ('corr', 'E', 'E')), 'E'), ('max', ('re_fft', ('corr', 'Z', 'E')))), ('skew', ('kurtosis', ('re_fft', ('argmax', 'N')))))]"
10,0.807,"[('skew', ('+', ('+', 'E', 'Z'), ('+', 'N', 'Z'))), ('argmax', ('skew', ('max', ('+', 'Z', 'E')))), ('skew', ('argmax', 'E')), ('skew', ('min', ('argmax', 'N'))), 'Z', 'Z', 'E', ('max', ('max', ('re_fft', ('argmax', 'Z')))), ('+', 'E', 'Z'), ('min', ('argmax', ('kurtosis', ('corr', ('+', 'N', 'Z'), 'N'))))]"
10,0.743,"[('+', 'E', 'N'), 'E', 'Z', ('kurtosis', ('min', ('max', ('min', ('max', 'N'))))), 'Z', ('argmax', 'Z'), ('skew', ('min', ('re_fft', ('max', 'N')))), 'Z', ('kurtosis', 'N'), ('skew', 'Z')]"
10,0.806,"[('re_fft', ('max', ('argmax', ('skew', 'N')))), ('max', 'N'), ('+', 'N', ('skew', ('kurtosis', ('+', ('min', 'Z'), ('min', 'E'))))), ('corr', ('kurtosis', ('argmax', ('max', ('min', 'N')))), ('argmax', ('min', 'Z'))), ('+', ('+', 'Z', ('corr', ('corr', ('argmax', 'E'), ('max', 'N')), ('max', 'N'))), ('+', ('kurtosis', ('skew', 'N')), ('+', ('max', ('corr', 'Z', 'E')), 'Z'))), ('max', ('+', 'E', 'N')), 'N', ('skew', ('kurtosis', ('+', ('min', ('min', 'E')), ('kurtosis', ('min', 'E'))))), ('kurtosis', ('skew', 'E')), ('max', ('min', ('argmax', 'Z')))]"
10,0.717,"[('skew', 'E'), ('skew', 'Z'), ('skew', ('+', 'E', ('argmax', ('skew', ('corr', 'Z', 'Z'))))), 'N', ('min', ('skew', ('kurtosis', 'E'))), 'Z', ('max', ('corr', ('min', ('skew', ('min', 'N'))), ('max', ('kurtosis', ('skew', 'Z'))))), 'N', ('argmax', ('re_fft', 'E')), ('corr', ('+', ('skew', 'Z'), ('+', ('kurtosis', 'N'), ('skew', 'Z'))), ('max', ('re_fft', ('corr', 'N', ('corr', 'Z', 'E')))))]"
