,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,qualified_station,count
355,UW,HH,RCM,--,46.836,-121.733,3085.0,UW.RCM.--,672
356,CC,BH,VALT,--,46.214,-122.189,1681.0,CC.VALT.--,249
357,CC,BH,HOA,--,46.242,-122.192,1151.0,CC.HOA.--,3
359,CC,BH,SEP,--,46.2,-122.191,2114.0,CC.SEP.--,1087
360,CC,BH,SUG,--,46.215,-122.176,1864.0,CC.SUG.--,241
364,UW,EH,MBW,01,48.784,-121.901,1676.0,UW.MBW.01,8
365,UW,HH,SHUK,--,48.853,-121.677,1516.0,UW.SHUK.--,10
366,UW,HH,MULN,--,48.535,-122.064,101.7,UW.MULN.--,7
367,UW,EH,JCW,--,48.195,-121.927,792.0,UW.JCW.--,9
368,UW,HH,SAXON,--,48.683,-122.161,110.8,UW.SAXON.--,9
369,CN,HH,VDEB,--,49.057,-122.057,351.0,CN.VDEB.--,2
370,UW,HH,RPW2,--,48.445,-121.526,683.0,UW.RPW2.--,9
375,UW,HH,BERY,--,48.264,-122.096,149.6,UW.BERY.--,3
383,CC,BH,NORM,--,43.739,-121.253,1286.0,CC.NORM.--,91
389,UW,HH,BHAM,--,48.787,-122.418,113.2,UW.BHAM.--,2
412,UW,HH,DONK,--,48.424,-122.157,892.8,UW.DONK.--,1
416,UW,EH,STAR,01,46.851,-121.793,3365.0,UW.STAR.01,190
425,CC,BH,REM,--,46.2,-122.186,1905.4,CC.REM.--,44
431,UW,EH,RCS,--,46.871,-121.732,2877.0,UW.RCS.--,970
446,PB,EH,B202,--,46.245,-122.137,1218.6,PB.B202.--,154
451,CC,BH,PALM,--,45.359,-121.705,2590.0,CC.PALM.--,51
464,CC,BH,OBSR,--,46.9,-121.815,2382.0,CC.OBSR.--,174
465,CC,BH,PARA,--,46.786,-121.742,1651.2,CC.PARA.--,3
466,UW,EH,LO2,--,46.751,-121.81,853.0,UW.LO2.--,63
467,UW,HH,LON,--,46.751,-121.81,853.0,UW.LON.--,59
468,CC,BH,PR05,--,46.842,-121.949,1553.0,CC.PR05.--,18
469,CC,BH,SIFT,--,46.867,-121.953,732.0,CC.SIFT.--,14
470,CC,BH,RUSH,--,46.903,-121.944,1235.0,CC.RUSH.--,5
471,CC,BH,CRBN,--,46.988,-121.961,499.1,CC.CRBN.--,2
472,CC,BH,YOCR,--,45.379,-121.743,1913.7,CC.YOCR.--,14
476,CC,BH,BRSP,--,45.402,-121.708,2079.0,CC.BRSP.--,5
481,CC,BH,LSON,--,45.36,-121.647,1880.0,CC.LSON.--,2
484,CC,BH,TIMB,--,45.336,-121.71,1869.0,CC.TIMB.--,24
489,CC,BH,STD,01,46.237,-122.224,1259.0,CC.STD.01,4
537,CC,BH,CPCO,--,43.722,-121.233,2135.0,CC.CPCO.--,174
538,UW,EH,SHW,--,46.194,-122.235,1442.0,UW.SHW.--,267
551,UW,EH,NCO,--,43.704,-121.14,1908.0,UW.NCO.--,14
554,CC,BH,SWF2,--,46.178,-122.216,1538.0,CC.SWF2.--,101
585,UW,EH,RER,--,46.819,-121.842,1756.0,UW.RER.--,151
587,UW,HH,FMW,--,46.942,-121.672,1900.0,UW.FMW.--,115
592,CC,BH,OPCH,--,46.731,-121.571,592.4,CC.OPCH.--,1
593,CC,BH,VOIT,--,46.966,-121.983,977.1,CC.VOIT.--,1
595,CC,BH,CARB,--,46.988,-122.005,872.5,CC.CARB.--,2
597,CC,BH,WIFE,--,44.06,-121.817,1955.0,CC.WIFE.--,19
598,CC,BH,PRLK,--,44.21,-121.963,1283.0,CC.PRLK.--,8
599,CC,BH,HUSB,--,44.12,-121.849,2038.0,CC.HUSB.--,4
648,UW,EH,NN19,01,43.718,-121.307,1793.0,UW.NN19.01,26
667,PB,EH,B201,--,46.303,-122.265,990.0,PB.B201.--,55
668,UW,EH,ELK,--,46.305,-122.342,1270.0,UW.ELK.--,23
672,CC,BH,TMBU,--,43.602,-121.145,1743.0,CC.TMBU.--,11
713,CC,BH,SWNB,--,43.673,-121.355,1569.0,CC.SWNB.--,21
755,CC,BH,HIYU,--,45.435,-121.807,1418.0,CC.HIYU.--,17
786,UW,EH,VLL,--,45.463,-121.68,1195.0,UW.VLL.--,14
787,UW,EH,TDH,--,45.29,-121.791,1541.0,UW.TDH.--,21
933,UW,HH,YACT,--,45.932,-122.419,211.2,UW.YACT.--,2
1024,CC,BH,TCBU,--,44.241,-121.664,1646.0,CC.TCBU.--,6
1025,CC,BH,ASBU,--,43.821,-121.368,1538.0,CC.ASBU.--,7
1099,CC,BH,PANH,--,46.859,-121.643,2086.0,CC.PANH.--,77
1183,UW,EH,RVC,--,46.944,-121.974,1000.0,UW.RVC.--,25
1221,UW,EH,SOS,--,46.244,-122.138,1270.0,UW.SOS.--,45
1258,CC,BH,STD,--,46.237,-122.224,1189.0,CC.STD.--,91
1274,CC,BH,KWBU,--,43.752,-121.312,1783.0,CC.KWBU.--,18
1319,UW,HH,HOOD,--,45.322,-121.651,1512.0,UW.HOOD.--,15
